iter	Passed	Remaining
0	128	127943
1	129	64676
2	131	43613
3	133	33122
4	134	26824
5	136	22630
6	138	19629
7	140	17426
8	142	15650
9	144	14263
10	146	13128
11	147	12160
12	149	11350
13	151	10637
14	154	10132
15	156	9639
16	158	9189
17	161	8792
18	163	8424
19	164	8076
20	166	7772
21	168	7495
22	170	7234
23	171	6993
24	173	6778
25	175	6568
26	178	6442
27	180	6280
28	182	6118
29	184	5964
30	186	5818
31	187	5685
32	190	5569
33	191	5455
34	193	5339
35	195	5232
36	197	5129
37	199	5037
38	200	4945
39	202	4855
40	204	4771
41	206	4698
42	207	4621
43	209	4550
44	211	4491
45	213	4422
46	214	4357
47	216	4295
48	218	4244
49	220	4188
50	222	4133
51	223	4080
52	225	4029
53	227	3980
54	228	3930
55	231	3895
56	232	3850
57	234	3807
58	236	3764
59	237	3724
60	239	3682
61	240	3644
62	242	3606
63	244	3570
64	245	3533
65	247	3498
66	248	3464
67	250	3432
68	252	3401
69	254	3380
70	256	3350
71	257	3320
72	259	3290
73	260	3263
74	262	3237
75	264	3209
76	265	3183
77	267	3164
78	269	3139
79	270	3113
80	272	3087
81	274	3067
82	274	3037
83	276	3014
84	277	2992
85	280	2979
86	282	2959
87	283	2938
88	285	2918
89	286	2897
90	288	2877
91	289	2858
92	291	2839
93	293	2826
94	294	2807
95	296	2790
96	297	2773
97	299	2757
98	301	2741
99	303	2727
100	304	2713
101	307	2709
102	309	2694
103	310	2678
104	312	2662
105	314	2649
106	315	2634
107	317	2620
108	319	2609
109	320	2596
110	322	2581
111	323	2567
112	325	2555
113	327	2544
114	328	2530
115	330	2518
116	331	2505
117	333	2494
118	335	2481
119	336	2468
120	338	2457
121	340	2447
122	341	2436
123	343	2424
124	344	2414
125	346	2404
126	347	2390
127	349	2379
128	350	2369
129	352	2359
130	354	2349
131	355	2339
132	357	2330
133	359	2320
134	360	2310
135	362	2300
136	363	2291
137	365	2283
138	366	2273
139	368	2263
140	370	2254
141	371	2244
142	372	2235
143	374	2226
144	376	2217
145	377	2209
146	379	2201
147	380	2193
148	382	2184
149	384	2178
150	385	2169
151	387	2161
152	388	2153
153	390	2145
154	392	2138
155	393	2130
156	395	2125
157	397	2118
158	398	2109
159	400	2102
160	401	2092
161	403	2087
162	405	2082
163	407	2075
164	408	2067
165	411	2067
166	412	2059
167	414	2052
168	416	2046
169	418	2041
170	419	2035
171	421	2028
172	423	2025
173	425	2019
174	426	2011
175	428	2005
176	430	1999
